customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre
a9b75100-82a8-427a-a208-72f24052884a,51,Other,Basic,14.73,29,Africa,TV,8.99,1,Gift Card,1,0.49,Action
49a5dfd9-7e69-4022-a6ad-0a1b9767fb5b,47,Other,Standard,0.7,19,Europe,Mobile,13.99,1,Gift Card,5,0.03,Sci-Fi
4d71f6ce-fca9-4ff7-8afa-197ac24de14b,27,Female,Standard,16.32,10,Asia,TV,13.99,0,Crypto,2,1.48,Drama
d3c72c38-631b-4f9e-8a0e-de103cad1a7d,53,Other,Premium,4.51,12,Oceania,TV,17.99,1,Crypto,2,0.35,Horror
4e265c34-103a-4dbb-9553-76c9aa47e9de,33,Male,Premium,33.1,1,North America,Tablet,17.99,0,Credit Card,3,2.55,Comedy
c823a7b3-6450-416a-9f6a-00c19d4c3a5c,45,Female,Basic,22.1,5,South America,Laptop,8.99,0,PayPal,4,4.42,Action
b6f1ba33-a3c6-4a4e-b2b9-ab0f1e928416,44,Male,Basic,12.76,41,Oceania,Tablet,8.99,1,Credit Card,3,0.3,Drama
96c14d7e-0813-4f70-be22-9198e307cc5d,20,Male,Basic,8.0,58,Oceania,Tablet,8.99,1,Gift Card,4,0.14,Documentary
9cac0e48-698a-4808-9ca9-9601ff0bd4d2,67,Female,Standard,16.06,18,Europe,Laptop,13.99,0,PayPal,5,0.85,Horror
b2903ea6-d58c-4ffa-bf43-3e5e6a25ca06,69,Male,Standard,42.72,52,South America,Tablet,13.99,0,Crypto,3,0.81,Drama
edb9036d-95f9-4998-9910-78ba85869dbd,57,Male,Standard,2.09,13,Asia,TV,13.99,1,Crypto,3,0.15,Romance
ac6eb271-0239-4957-b828-c89508fcfbea,38,Female,Premium,29.9,2,Asia,TV,17.99,0,Credit Card,2,14.95,Comedy
